Date,GLD,USO,SLV,SPX,EUR_USD
11-03-2015,1114.199951,47.90000153,15.24400043,2109.790039,1.101600647
11-04-2015,1106.5,46.31999969,15.06299973,2102.310059,1.096395016
11-05-2015,1104.400024,45.20000076,14.98799992,2099.929932,1.086802959
11-06-2015,1087.599976,44.29000092,14.6960001,2099.199951,1.088399768
11-09-2015,1087.900024,43.86999893,14.41800022,2078.580078,1.07334137
11-10-2015,1088.199951,44.20999908,14.35599995,2081.719971,1.075951457
11-11-2015,1084.699951,42.93000031,14.26200008,2075,1.073756337
11-12-2015,1080.800049,41.75,14.22399998,2045.969971,1.076298833
12-01-2015,1063.800049,41.84999847,14.05500031,2102.629883,1.057294726
12-02-2015,1054.199951,39.93999863,13.97900009,2079.51001,1.062586308
12-03-2015,1061.699951,41.08000183,14.05300045,2049.620117,1.061300755
12-04-2015,1084.5,39.97000122,14.50500011,2091.689941,1.091595769
12-07-2015,1076.400024,37.65000153,14.30700016,2077.070068,1.088399768
12-08-2015,1076.300049,37.50999832,14.0909996,2063.590088,1.08340013
12-09-2015,1077.599976,37.15999985,14.16399956,2047.619995,1.089395761
12-10-2015,1073.099976,36.75999832,14.08500004,2052.22998,1.101794839
12-11-2015,1076.900024,35.61999893,13.85900021,2012.369995,1.094810605
01-04-2016,1075.099976,36.75999832,13.81700039,2012.660034,1.085399151
01-05-2016,1078.400024,35.97000122,13.94900036,2016.709961,1.08275497
01-06-2016,1091.900024,33.97000122,13.95699978,1990.26001,1.075199366
01-07-2016,1107.699951,33.27000046,14.33500004,1943.089966,1.077899814
01-08-2016,1097.800049,33.15999985,13.90799999,1922.030029,1.092597604
01-11-2016,1096.5,31.40999985,13.85499954,1923.670044,1.094103813
01-12-2016,1085.599976,30.44000053,13.73999977,1938.680054,1.085799932
02-01-2016,1127.900024,31.62000084,14.32900047,1939.380005,1.082590818
02-02-2016,1127.300049,29.87999916,14.27600002,1903.030029,1.089728236
02-03-2016,1141.300049,32.27999878,14.72000027,1912.530029,1.092203856
02-04-2016,1157.599976,31.71999931,14.83600044,1915.449951,1.109102368
02-05-2016,1157.800049,30.88999939,14.76399994,1880.050049,1.119996428
02-08-2016,1197.900024,29.69000053,15.41600037,1853.439941,1.114504099
02-09-2016,1198.699951,27.94000053,15.44400024,1852.209961,1.118981242
02-10-2016,1194.699951,27.45000076,15.27700043,1851.859985,1.128999472
02-11-2016,1247.900024,26.20999908,15.78899956,1829.079956,1.128095269
02-12-2016,1239.099976,29.44000053,15.78499985,1864.780029,1.13179791
03-01-2016,1230.300049,34.40000153,14.7329998,1978.349976,1.088897586
03-02-2016,1241.099976,34.65999985,15.00300026,1986.449951,1.087594867
03-03-2016,1257.400024,34.56999969,15.13099957,1993.400024,1.086897373
03-04-2016,1269.900024,35.91999817,15.68099976,1999.98999,1.094894528
03-07-2016,1263.199951,37.90000153,15.62300014,2001.76001,1.099396467
03-08-2016,1262.099976,36.5,15.38399982,1979.26001,1.101600647
03-09-2016,1256.599976,38.29000092,15.35499954,1989.26001,1.100400567
03-10-2016,1272,37.84000015,15.54599953,1989.569946,1.098901033
